bagId;aansluiting;status;datum
0014100010937475;Warmte;Aanvraag ontvangen;11-5-2023 11:32:38
0014100010937641;Elektriciteit;Aanvraag goedgekeurd;12-7-2023 10:04:14
0014100010937641;Warmte;Aanvraag goedgekeurd;12-7-2023 10:04:14
0014100010938718;Elektriciteit;Aanvraag ontvangen;4-5-2023 15:14:55
0014100010938718;Warmte;Aanvraag ontvangen;4-5-2023 15:14:55
0014100010938879;Warmte;Aanvraag ontvangen;11-5-2023 11:32:36
0014100010938879;Elektriciteit;Aanvraag ontvangen;11-5-2023 11:32:36
0014100010939014;Elektriciteit;Aanvraag ontvangen;27-4-2023 07:54:51
0014100010939014;Elektriciteit;Aanvraag ontvangen;27-4-2023 07:54:51
0014100010939014;Warmte;Aanvraag goedgekeurd;14-8-2023 12:49:14
0014100010939527;Warmte;Aanvraag goedgekeurd;19-7-2023 10:33:51
0014100010939527;Elektriciteit;Aanvraag goedgekeurd;19-7-2023 10:33:51
0014100010941685;Elektriciteit;Aanvraag goedgekeurd;20-7-2023 10:28:58
0014100010941726;Warmte;Aanvraag ontvangen;11-5-2023 11:32:38
0014100010941726;Elektriciteit;Aanvraag ontvangen;11-5-2023 11:32:38
0014100010941851;Warmte;Aanvraag goedgekeurd;14-8-2023 15:47:39
0014100010941851;Elektriciteit;Aanvraag goedgekeurd;14-8-2023 15:47:39
0014100010942074;Elektriciteit;Aanvraag goedgekeurd;12-7-2023 10:03:58
0014100010942074;Warmte;Aanvraag goedgekeurd;12-7-2023 10:03:58
0014100010942094;Elektriciteit;Aanvraag goedgekeurd;18-7-2023 10:33:57
0014100010942094;Warmte;Aanvraag goedgekeurd;24-7-2023 12:38:06
0014100010942106;Warmte;Aanvraag goedgekeurd;3-8-2023 16:11:52
0014100010942106;Elektriciteit;Aanvraag goedgekeurd;3-8-2023 16:11:52
0014100010942124;Warmte;Aanvraag ontvangen;11-5-2023 11:32:36
0014100010942589;Warmte;Aanvraag goedgekeurd;16-8-2023 11:23:33
0014100010942589;Elektriciteit;Aanvraag goedgekeurd;16-8-2023 11:23:33
0014100010943747;Elektriciteit;Aanvraag ontvangen;17-5-2023 14:37:37
0014100010943747;Warmte;Aanvraag ontvangen;17-5-2023 14:37:37
0014100010943747;Warmte;Aanvraag goedgekeurd;27-7-2023 12:03:12
0014100010943747;Elektriciteit;Aanvraag goedgekeurd;27-7-2023 12:03:12
0014100010943855;Elektriciteit;Aanvraag ontvangen;1-6-2023 10:37:51
0014100010943896;Elektriciteit;Aanvraag goedgekeurd;27-6-2023 13:22:08
0014100010943896;Warmte;Aanvraag goedgekeurd;27-6-2023 13:22:08
0014100010944014;Warmte;Aanvraag goedgekeurd;12-7-2023 10:04:04
0014100010944014;Elektriciteit;Aanvraag goedgekeurd;12-7-2023 10:04:04
0014100010944149;Elektriciteit;Aanvraag goedgekeurd;19-7-2023 10:33:51
0014100010944149;Warmte;Aanvraag goedgekeurd;19-7-2023 10:33:51
0014100010944396;Elektriciteit;Aanvraag goedgekeurd;21-7-2023 10:28:05
0014100010944396;Warmte;Aanvraag goedgekeurd;21-7-2023 10:28:05
0014100010944492;Elektriciteit;Aanvraag goedgekeurd;18-7-2023 10:33:55
0014100010944492;Warmte;Aanvraag goedgekeurd;18-7-2023 10:33:55
0014100010944556;Elektriciteit;Aanvraag goedgekeurd;12-7-2023 10:03:53
0014100010944676;Warmte;Aanvraag ontvangen;4-5-2023 15:14:53
0014100010944866;Elektriciteit;Aanvraag goedgekeurd;2-8-2023 13:31:52
0014100010944930;Elektriciteit;Aanvraag goedgekeurd;19-7-2023 10:33:51
0014100010945706;Warmte;Aanvraag goedgekeurd;3-8-2023 08:41:45
0014100010945823;Elektriciteit;Aanvraag goedgekeurd;8-8-2023 15:01:53
0014100010945823;Warmte;Aanvraag goedgekeurd;8-8-2023 15:01:53
0014100010946081;Warmte;Aanvraag goedgekeurd;16-8-2023 11:23:36
0014100010946115;Warmte;Aanvraag ontvangen;11-5-2023 11:32:36
0014100010946121;Warmte;Aanvraag ontvangen;11-5-2023 11:32:36
0014100010946167;Warmte;Aanvraag ontvangen;4-5-2023 15:15:03
0014100010946355;Warmte;Aanvraag ontvangen;11-5-2023 11:32:42
0014100010946355;Elektriciteit;Aanvraag ontvangen;11-5-2023 11:32:42
0014100010946403;Elektriciteit;Aanvraag goedgekeurd;10-8-2023 11:16:45
0014100010946403;Warmte;Aanvraag goedgekeurd;10-8-2023 11:16:45
0014100010946544;Warmte;Aanvraag goedgekeurd;12-7-2023 10:03:52
0014100010946544;Elektriciteit;Aanvraag goedgekeurd;12-7-2023 10:03:52
0014100010946687;Warmte;Aanvraag ontvangen;4-5-2023 15:15:05
0014100010946687;Elektriciteit;Aanvraag ontvangen;4-5-2023 15:15:05
0014100010946883;Elektriciteit;Aanvraag goedgekeurd;3-8-2023 12:12:02
0014100010946883;Warmte;Aanvraag goedgekeurd;3-8-2023 12:12:02
0014100010947379;Warmte;Aanvraag goedgekeurd;12-7-2023 10:04:03
0014100010947906;Elektriciteit;Aanvraag goedgekeurd;12-7-2023 10:04:16
0014100010947906;Warmte;Aanvraag goedgekeurd;12-7-2023 10:04:16
0014100010949286;Elektriciteit;Aanvraag goedgekeurd;3-8-2023 14:12:14
0014100010949286;Warmte;Aanvraag goedgekeurd;3-8-2023 14:12:14
0014100010949472;Warmte;Aanvraag goedgekeurd;12-7-2023 10:03:57
0014100010949680;Warmte;Aanvraag goedgekeurd;18-8-2023 08:33:34
0014100010950000;Warmte;Aanvraag goedgekeurd;18-7-2023 10:33:55
0014100010950000;Elektriciteit;Aanvraag goedgekeurd;18-7-2023 10:33:55
0014100010951085;Elektriciteit;Aanvraag ontvangen;17-5-2023 14:37:37
0014100010951085;Warmte;Aanvraag ontvangen;17-5-2023 14:37:37
